,Date,variable,value
177,2020-09-21,Age-0to17,0
178,2020-09-22,Age-0to17,0
179,2020-09-23,Age-0to17,0
180,2020-09-24,Age-0to17,0
181,2020-09-25,Age-0to17,0
182,2020-09-26,Age-0to17,0
183,2020-09-27,Age-0to17,0
184,2020-09-28,Age-0to17,0
185,2020-09-29,Age-0to17,0
186,2020-09-30,Age-0to17,0
187,2020-10-01,Age-0to17,0
188,2020-10-02,Age-0to17,0
189,2020-10-03,Age-0to17,0
190,2020-10-04,Age-0to17,0
191,2020-10-05,Age-0to17,0
192,2020-10-06,Age-0to17,0
193,2020-10-07,Age-0to17,0
194,2020-10-08,Age-0to17,0
195,2020-10-09,Age-0to17,0
196,2020-10-10,Age-0to17,0
197,2020-10-11,Age-0to17,0
198,2020-10-12,Age-0to17,0
199,2020-10-13,Age-0to17,0
200,2020-10-14,Age-0to17,0
201,2020-10-15,Age-0to17,0
202,2020-10-16,Age-0to17,0
203,2020-10-17,Age-0to17,0
204,2020-10-18,Age-0to17,0
205,2020-10-19,Age-0to17,0
206,2020-10-20,Age-0to17,0
207,2020-10-21,Age-0to17,0
208,2020-10-22,Age-0to17,0
209,2020-10-23,Age-0to17,0
210,2020-10-24,Age-0to17,0
211,2020-10-25,Age-0to17,0
212,2020-10-26,Age-0to17,0
213,2020-10-27,Age-0to17,0
214,2020-10-28,Age-0to17,0
215,2020-10-29,Age-0to17,0
216,2020-10-30,Age-0to17,0
217,2020-10-31,Age-0to17,0
218,2020-11-01,Age-0to17,0
219,2020-11-02,Age-0to17,0
220,2020-11-03,Age-0to17,0
221,2020-11-04,Age-0to17,0
222,2020-11-05,Age-0to17,0
223,2020-11-06,Age-0to17,0
224,2020-11-07,Age-0to17,0
225,2020-11-08,Age-0to17,0
226,2020-11-09,Age-0to17,0
227,2020-11-10,Age-0to17,0
228,2020-11-11,Age-0to17,0
229,2020-11-12,Age-0to17,0
230,2020-11-13,Age-0to17,0
231,2020-11-14,Age-0to17,0
232,2020-11-15,Age-0to17,0
233,2020-11-16,Age-0to17,0
234,2020-11-17,Age-0to17,0
235,2020-11-18,Age-0to17,0
236,2020-11-19,Age-0to17,0
237,2020-11-20,Age-0to17,0
238,2020-11-21,Age-0to17,0
239,2020-11-22,Age-0to17,0
240,2020-11-23,Age-0to17,0
241,2020-11-24,Age-0to17,0
242,2020-11-25,Age-0to17,0
243,2020-11-26,Age-0to17,0
244,2020-11-27,Age-0to17,0
245,2020-11-28,Age-0to17,0
246,2020-11-29,Age-0to17,0
247,2020-11-30,Age-0to17,0
248,2020-12-01,Age-0to17,0
249,2020-12-02,Age-0to17,0
250,2020-12-03,Age-0to17,0
251,2020-12-04,Age-0to17,0
252,2020-12-05,Age-0to17,0
253,2020-12-06,Age-0to17,0
254,2020-12-07,Age-0to17,0
255,2020-12-08,Age-0to17,0
256,2020-12-09,Age-0to17,1
257,2020-12-10,Age-0to17,1
258,2020-12-11,Age-0to17,1
259,2020-12-12,Age-0to17,1
260,2020-12-13,Age-0to17,1
261,2020-12-14,Age-0to17,1
262,2020-12-15,Age-0to17,1
263,2020-12-16,Age-0to17,1
264,2020-12-17,Age-0to17,1
265,2020-12-18,Age-0to17,1
266,2020-12-19,Age-0to17,1
267,2020-12-20,Age-0to17,1
268,2020-12-21,Age-0to17,1
269,2020-12-22,Age-0to17,1
270,2020-12-23,Age-0to17,1
271,2020-12-24,Age-0to17,1
272,2020-12-25,Age-0to17,1
273,2020-12-26,Age-0to17,1
274,2020-12-27,Age-0to17,1
275,2020-12-28,Age-0to17,1
276,2020-12-29,Age-0to17,1
277,2020-12-30,Age-0to17,1
278,2020-12-31,Age-0to17,1
279,2021-01-01,Age-0to17,1
280,2021-01-02,Age-0to17,1
281,2021-01-03,Age-0to17,1
282,2021-01-04,Age-0to17,1
283,2021-01-05,Age-0to17,1
284,2021-01-06,Age-0to17,1
