Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count
9/11/20,Age-0to17,24645,122
9/12/20,Age-0to17,24745,100
9/13/20,Age-0to17,24850,105
9/14/20,Age-0to17,24901,51
9/15/20,Age-0to17,24987,86
9/16/20,Age-0to17,25127,140
9/17/20,Age-0to17,25239,112
9/18/20,Age-0to17,25396,157
9/19/20,Age-0to17,25585,189
9/20/20,Age-0to17,25679,94
9/21/20,Age-0to17,25729,50
9/22/20,Age-0to17,25861,132
9/23/20,Age-0to17,26010,149
9/24/20,Age-0to17,26155,145
9/25/20,Age-0to17,26303,148
9/26/20,Age-0to17,26437,134
9/27/20,Age-0to17,26513,76
9/28/20,Age-0to17,26600,87
9/29/20,Age-0to17,26731,131
9/30/20,Age-0to17,26841,110
10/1/20,Age-0to17,26972,131
10/2/20,Age-0to17,27089,117
10/3/20,Age-0to17,27229,140
10/4/20,Age-0to17,27292,63
10/5/20,Age-0to17,27408,116
10/6/20,Age-0to17,27616,208
10/7/20,Age-0to17,27735,119
10/8/20,Age-0to17,27887,152
10/9/20,Age-0to17,28066,179
10/10/20,Age-0to17,28234,168
10/11/20,Age-0to17,28367,133
10/12/20,Age-0to17,28456,89
10/13/20,Age-0to17,28625,169
10/14/20,Age-0to17,28752,127
10/15/20,Age-0to17,28911,159
10/16/20,Age-0to17,29039,128
10/17/20,Age-0to17,29120,81
10/18/20,Age-0to17,29218,98
10/19/20,Age-0to17,29270,52
10/20/20,Age-0to17,29303,33
10/21/20,Age-0to17,29810,507
10/22/20,Age-0to17,30197,387
10/23/20,Age-0to17,30474,277
10/24/20,Age-0to17,30613,139
10/25/20,Age-0to17,30613,0
10/26/20,Age-0to17,30613,0
10/27/20,Age-0to17,31122,509
10/28/20,Age-0to17,31367,245
10/29/20,Age-0to17,31524,157
10/30/20,Age-0to17,31670,146
10/31/20,Age-0to17,31862,192
11/1/20,Age-0to17,32053,191
11/2/20,Age-0to17,32191,138
11/3/20,Age-0to17,32397,206
11/4/20,Age-0to17,32697,300
11/5/20,Age-0to17,32976,279
11/6/20,Age-0to17,33231,255
11/7/20,Age-0to17,33547,316
11/8/20,Age-0to17,33748,201
11/9/20,Age-0to17,34002,254
11/10/20,Age-0to17,34253,251
11/11/20,Age-0to17,34670,417
11/12/20,Age-0to17,34949,279
11/13/20,Age-0to17,35430,481
11/14/20,Age-0to17,35840,410
11/15/20,Age-0to17,36251,411
11/16/20,Age-0to17,36478,227
11/17/20,Age-0to17,36955,477
11/18/20,Age-0to17,37570,615
11/19/20,Age-0to17,38150,580
11/20/20,Age-0to17,38690,540
11/21/20,Age-0to17,39117,427
11/22/20,Age-0to17,39942,825
11/23/20,Age-0to17,40355,413
11/24/20,Age-0to17,40807,452
11/25/20,Age-0to17,41434,627
11/26/20,Age-0to17,41958,524
11/27/20,Age-0to17,42269,311
11/28/20,Age-0to17,42958,689
11/29/20,Age-0to17,43591,633
11/30/20,Age-0to17,44493,902
12/1/20,Age-0to17,45094,601
12/2/20,Age-0to17,46293,1199
12/3/20,Age-0to17,47233,940
12/4/20,Age-0to17,48358,1125
12/5/20,Age-0to17,50168,1810
12/6/20,Age-0to17,51296,1128
12/7/20,Age-0to17,52415,1119
12/8/20,Age-0to17,53499,1084
12/9/20,Age-0to17,55311,1812
12/10/20,Age-0to17,57048,1737
12/11/20,Age-0to17,58523,1475
12/12/20,Age-0to17,60516,1993
12/13/20,Age-0to17,61383,867
12/14/20,Age-0to17,62818,1435
12/15/20,Age-0to17,65925,3107
12/16/20,Age-0to17,68132,2207
12/17/20,Age-0to17,70211,2079
12/18/20,Age-0to17,71957,1746
12/19/20,Age-0to17,74088,2131
12/20/20,Age-0to17,75624,1536
12/21/20,Age-0to17,77032,1408
12/22/20,Age-0to17,79091,2059
12/23/20,Age-0to17,81281,2190
12/24/20,Age-0to17,81281,0
12/25/20,Age-0to17,85432,4151
12/26/20,Age-0to17,87611,2179
12/27/20,Age-0to17,89319,1708
12/28/20,Age-0to17,90684,1365
12/29/20,Age-0to17,91835,1151
