Date,variable,value
2020-09-24,Age-0to17,26155
2020-09-25,Age-0to17,26303
2020-09-26,Age-0to17,26437
2020-09-27,Age-0to17,26513
2020-09-28,Age-0to17,26600
2020-09-29,Age-0to17,26731
2020-09-30,Age-0to17,26841
2020-10-01,Age-0to17,26972
2020-10-02,Age-0to17,27089
2020-10-03,Age-0to17,27229
2020-10-04,Age-0to17,27292
2020-10-05,Age-0to17,27408
2020-10-06,Age-0to17,27616
2020-10-07,Age-0to17,27735
2020-10-08,Age-0to17,27887
2020-10-09,Age-0to17,28066
2020-10-10,Age-0to17,28234
2020-10-11,Age-0to17,28367
2020-10-12,Age-0to17,28456
2020-10-13,Age-0to17,28625
2020-10-14,Age-0to17,28752
2020-10-15,Age-0to17,28911
2020-10-16,Age-0to17,29039
2020-10-17,Age-0to17,29120
2020-10-18,Age-0to17,29218
2020-10-19,Age-0to17,29270
2020-10-20,Age-0to17,29303
2020-10-21,Age-0to17,29810
2020-10-22,Age-0to17,30197
2020-10-23,Age-0to17,30474
2020-10-24,Age-0to17,30613
2020-10-25,Age-0to17,30474
2020-10-26,Age-0to17,30613
2020-10-27,Age-0to17,31122
2020-10-28,Age-0to17,31367
2020-10-29,Age-0to17,31524
2020-10-30,Age-0to17,31670
2020-10-31,Age-0to17,31862
2020-11-01,Age-0to17,32053
2020-11-02,Age-0to17,32191
2020-11-03,Age-0to17,32397
2020-11-04,Age-0to17,32697
2020-11-05,Age-0to17,32976
2020-11-06,Age-0to17,33231
2020-11-07,Age-0to17,33547
2020-11-08,Age-0to17,33748
2020-11-09,Age-0to17,34002
2020-11-10,Age-0to17,34253
2020-11-11,Age-0to17,34670
2020-11-12,Age-0to17,34949
2020-11-13,Age-0to17,35430
2020-11-14,Age-0to17,35840
2020-11-15,Age-0to17,36251
2020-11-16,Age-0to17,36478
2020-11-17,Age-0to17,36955
2020-11-18,Age-0to17,37570
2020-11-19,Age-0to17,38150
2020-11-20,Age-0to17,38690
2020-11-21,Age-0to17,39117
2020-11-22,Age-0to17,39942
2020-11-23,Age-0to17,40355
2020-11-24,Age-0to17,40807
2020-11-25,Age-0to17,41434
2020-11-26,Age-0to17,41958
2020-11-27,Age-0to17,42269
2020-11-28,Age-0to17,42958
2020-11-29,Age-0to17,43591
2020-11-30,Age-0to17,44493
2020-12-01,Age-0to17,45094
2020-12-02,Age-0to17,46293
2020-12-03,Age-0to17,47233
2020-12-04,Age-0to17,48358
2020-12-05,Age-0to17,50168
2020-12-06,Age-0to17,51296
2020-12-07,Age-0to17,52415
2020-12-08,Age-0to17,53499
2020-12-09,Age-0to17,55311
2020-12-10,Age-0to17,57048
2020-12-11,Age-0to17,58523
2020-12-12,Age-0to17,60516
2020-12-13,Age-0to17,61383
2020-12-14,Age-0to17,62818
2020-12-15,Age-0to17,65925
2020-12-16,Age-0to17,68132
2020-12-17,Age-0to17,70211
2020-12-18,Age-0to17,71957
2020-12-19,Age-0to17,74088
2020-12-20,Age-0to17,75624
2020-12-21,Age-0to17,77032
2020-12-22,Age-0to17,79091
2020-12-23,Age-0to17,81281
2020-12-24,Age-0to17,81281
2020-12-25,Age-0to17,85432
2020-12-26,Age-0to17,87611
2020-12-27,Age-0to17,89319
2020-12-28,Age-0to17,90684
2020-12-29,Age-0to17,91835
2020-12-30,Age-0to17,93673
2020-12-31,Age-0to17,96293
2021-01-01,Age-0to17,98477
2021-01-02,Age-0to17,100848
2021-01-03,Age-0to17,102060
2021-01-04,Age-0to17,103650
2021-01-05,Age-0to17,105025
2021-01-06,Age-0to17,107578
2021-01-07,Age-0to17,110824
2021-01-08,Age-0to17,113012
2021-01-09,Age-0to17,114808
2021-01-10,Age-0to17,116556
2021-01-11,Age-0to17,118246
2021-01-12,Age-0to17,119974
2021-01-13,Age-0to17,123151
2021-01-14,Age-0to17,125167
2021-01-15,Age-0to17,127098
2021-01-16,Age-0to17,128942
2021-01-17,Age-0to17,130400
2021-01-18,Age-0to17,131500
2021-01-19,Age-0to17,132071
2021-01-20,Age-0to17,133328
2021-01-21,Age-0to17,134344
2021-01-22,Age-0to17,135734
2021-01-23,Age-0to17,136827
2021-01-24,Age-0to17,137731
2021-01-25,Age-0to17,138405
2021-01-26,Age-0to17,139249
2021-01-27,Age-0to17,140010
2021-01-28,Age-0to17,140748
2021-01-29,Age-0to17,141625
2021-01-30,Age-0to17,142473
2021-01-31,Age-0to17,143074
2021-02-01,Age-0to17,143514
2021-02-02,Age-0to17,144081
2021-02-03,Age-0to17,145410
2021-02-04,Age-0to17,145913
