Date,variable,value
2021-03-17,Age-18to64,914779
2021-03-18,Age-18to64,915334
2021-03-19,Age-18to64,915732
2021-03-20,Age-18to64,916012
2021-03-21,Age-18to64,916412
2021-03-22,Age-18to64,916718
2021-03-23,Age-18to64,917161
2021-03-24,Age-18to64,917546
2021-03-25,Age-18to64,918103
2021-03-26,Age-18to64,918570
2021-03-27,Age-18to64,918926
2021-03-28,Age-18to64,919215
2021-03-29,Age-18to64,919472
2021-03-30,Age-18to64,919895
2021-03-31,Age-18to64,919474
2021-04-01,Age-18to64,920869
2021-04-02,Age-18to64,921430
2021-04-03,Age-18to64,921803
2021-04-04,Age-18to64,922046
2021-04-05,Age-18to64,922274
2021-04-06,Age-18to64,922573
2021-04-07,Age-18to64,923056
2021-04-08,Age-18to64,923596
2021-04-09,Age-18to64,924128
2021-04-10,Age-18to64,924514
2021-04-11,Age-18to64,924822
2021-04-12,Age-18to64,925122
2021-04-13,Age-18to64,925398
2021-04-14,Age-18to64,925778
2021-04-15,Age-18to64,926247
2021-04-16,Age-18to64,926603
2021-04-17,Age-18to64,927361
2021-04-18,Age-18to64,927585
2021-04-19,Age-18to64,927819
2021-04-20,Age-18to64,928065
2021-04-21,Age-18to64,928315
2021-04-22,Age-18to64,928612
2021-04-23,Age-18to64,928881
2021-04-24,Age-18to64,929117
2021-04-25,Age-18to64,929329
2021-04-26,Age-18to64,929505
2021-04-27,Age-18to64,929688
2021-04-28,Age-18to64,929960
2021-04-29,Age-18to64,930209
2021-04-30,Age-18to64,930493
2021-05-01,Age-18to64,930991
2021-05-02,Age-18to64,931133
2021-05-03,Age-18to64,931292
2021-05-04,Age-18to64,931405
2021-05-05,Age-18to64,931660
2021-05-06,Age-18to64,931894
2021-05-07,Age-18to64,932107
2021-05-08,Age-18to64,932283
2021-05-09,Age-18to64,932483
2021-05-10,Age-18to64,932575
2021-05-11,Age-18to64,932748
2021-05-12,Age-18to64,932904
2021-05-13,Age-18to64,933281
2021-05-14,Age-18to64,933439
2021-05-15,Age-18to64,933531
2021-05-16,Age-18to64,933641
2021-05-17,Age-18to64,933714
2021-05-18,Age-18to64,933850
2021-05-19,Age-18to64,933997
2021-05-20,Age-18to64,934151
2021-05-21,Age-18to64,934440
2021-05-22,Age-18to64,934564
2021-05-23,Age-18to64,934666
2021-05-24,Age-18to64,934795
2021-05-25,Age-18to64,934906
2021-05-26,Age-18to64,937640
2021-05-27,Age-18to64,937761
2021-05-28,Age-18to64,937906
2021-05-29,Age-18to64,938033
2021-05-30,Age-18to64,938171
2021-05-31,Age-18to64,938248
2021-06-01,Age-18to64,938304
2021-06-02,Age-18to64,938448
2021-06-03,Age-18to64,938593
2021-06-04,Age-18to64,938772
2021-06-05,Age-18to64,938918
2021-06-06,Age-18to64,939016
2021-06-07,Age-18to64,939119
2021-06-08,Age-18to64,939235
2021-06-09,Age-18to64,939367
2021-06-10,Age-18to64,939487
2021-06-11,Age-18to64,939718
2021-06-12,Age-18to64,939859
2020-03-17,Age-65older,29
2020-03-18,Age-65older,31
2020-03-19,Age-65older,34
2020-03-20,Age-65older,47
2020-03-21,Age-65older,67
2020-03-22,Age-65older,92
2020-03-23,Age-65older,107
2020-03-24,Age-65older,141
2020-03-25,Age-65older,223
2020-03-26,Age-65older,268
2020-03-27,Age-65older,343
2020-03-28,Age-65older,395
2020-03-29,Age-65older,467
2020-03-30,Age-65older,553
2020-03-31,Age-65older,684
2020-04-01,Age-65older,802
2020-04-02,Age-65older,922
2020-04-03,Age-65older,1077
2020-04-04,Age-65older,1183
2020-04-05,Age-65older,1305
2020-04-06,Age-65older,1417
2020-04-07,Age-65older,1552
2020-04-08,Age-65older,1679
2020-04-09,Age-65older,1806
2020-04-10,Age-65older,1924
2020-04-11,Age-65older,2017
2020-04-12,Age-65older,2144
2020-04-13,Age-65older,2297
2020-04-14,Age-65older,2423
2020-04-15,Age-65older,2525
2020-04-16,Age-65older,2650
2020-04-17,Age-65older,3018
2020-04-18,Age-65older,3124
2020-04-19,Age-65older,3264
2020-04-20,Age-65older,3525
2020-04-21,Age-65older,3707
2020-04-22,Age-65older,3947
2020-04-23,Age-65older,4205
2020-04-24,Age-65older,4373
2020-04-25,Age-65older,4505
2020-04-26,Age-65older,4596
2020-04-27,Age-65older,4770
2020-04-28,Age-65older,5037
2020-04-29,Age-65older,5251
2020-04-30,Age-65older,5409
2020-05-01,Age-65older,5586
2020-05-02,Age-65older,5715
2020-05-03,Age-65older,5936
2020-05-04,Age-65older,6203
2020-05-05,Age-65older,6378
2020-05-06,Age-65older,6571
2020-05-07,Age-65older,6739
2020-05-08,Age-65older,6919
2020-05-09,Age-65older,7051
2020-05-10,Age-65older,7182
2020-05-11,Age-65older,7310
2020-05-12,Age-65older,7581
2020-05-13,Age-65older,7715
2020-05-14,Age-65older,7911
2020-05-15,Age-65older,8026
2020-05-16,Age-65older,8105
2020-05-17,Age-65older,8208
2020-05-18,Age-65older,8353
2020-05-19,Age-65older,8508
2020-05-20,Age-65older,8722
2020-05-21,Age-65older,8854
2020-05-22,Age-65older,8978
2020-05-23,Age-65older,9107
2020-05-24,Age-65older,9294
2020-05-25,Age-65older,9439
2020-05-26,Age-65older,9557
2020-05-27,Age-65older,9674
2020-05-28,Age-65older,9863
2020-05-29,Age-65older,10018
2020-05-30,Age-65older,10183
2020-05-31,Age-65older,10272
2020-06-01,Age-65older,10390
2020-06-02,Age-65older,10521
2020-06-03,Age-65older,10744
2020-06-04,Age-65older,10901
2020-06-05,Age-65older,11050
2020-06-06,Age-65older,11206
2020-06-07,Age-65older,11272
2020-06-08,Age-65older,11381
2020-06-09,Age-65older,11517
2020-06-10,Age-65older,11639
2020-06-11,Age-65older,11786
2020-06-12,Age-65older,11938
2020-06-13,Age-65older,12056
2020-06-14,Age-65older,12086
2020-06-15,Age-65older,12245
2020-06-16,Age-65older,12402
2020-06-17,Age-65older,12532
2020-06-18,Age-65older,12663
2020-06-19,Age-65older,12828
2020-06-20,Age-65older,12971
2020-06-21,Age-65older,13130
2020-06-22,Age-65older,13370
2020-06-23,Age-65older,13497
2020-06-24,Age-65older,13732
2020-06-25,Age-65older,13873
2020-06-26,Age-65older,14070
2020-06-27,Age-65older,14239
2020-06-28,Age-65older,14416
2020-06-29,Age-65older,14614
2020-06-30,Age-65older,14762
2020-07-01,Age-65older,14963
2020-07-02,Age-65older,14963
2020-07-03,Age-65older,14963
2020-07-04,Age-65older,15540
2020-07-05,Age-65older,15653
2020-07-06,Age-65older,15907
2020-07-07,Age-65older,16136
2020-07-08,Age-65older,16316
2020-07-09,Age-65older,16516
2020-07-10,Age-65older,16726
2020-07-11,Age-65older,16978
2020-07-12,Age-65older,17157
2020-07-13,Age-65older,17447
2020-07-14,Age-65older,17676
2020-07-15,Age-65older,17958
2020-07-16,Age-65older,18154
2020-07-17,Age-65older,18394
2020-07-18,Age-65older,18605
2020-07-19,Age-65older,18796
2020-07-20,Age-65older,18991
2020-07-21,Age-65older,19223
2020-07-22,Age-65older,19352
2020-07-23,Age-65older,19352
2020-07-24,Age-65older,19352
2020-07-25,Age-65older,19352
2020-07-26,Age-65older,19352
2020-07-27,Age-65older,21763
2020-07-28,Age-65older,22083
2020-07-29,Age-65older,22290
2020-07-30,Age-65older,22511
2020-07-31,Age-65older,22702
2020-08-01,Age-65older,22861
2020-08-02,Age-65older,22995
2020-08-03,Age-65older,23175
2020-08-04,Age-65older,23439
2020-08-05,Age-65older,23752
2020-08-06,Age-65older,23997
2020-08-07,Age-65older,24289
2020-08-08,Age-65older,24445
2020-08-09,Age-65older,24615
2020-08-10,Age-65older,24755
2020-08-11,Age-65older,24931
2020-08-12,Age-65older,25171
2020-08-13,Age-65older,25415
2020-08-14,Age-65older,25600
2020-08-15,Age-65older,25802
2020-08-16,Age-65older,25894
2020-08-17,Age-65older,25979
2020-08-18,Age-65older,26122
2020-08-19,Age-65older,26284
2020-08-20,Age-65older,26453
2020-08-21,Age-65older,26598
2020-08-22,Age-65older,26752
2020-08-23,Age-65older,26852
2020-08-24,Age-65older,26970
2020-08-25,Age-65older,27118
2020-08-26,Age-65older,27275
2020-08-27,Age-65older,27468
2020-08-28,Age-65older,27590
2020-08-29,Age-65older,27709
2020-08-30,Age-65older,27806
2020-08-31,Age-65older,27913
2020-09-01,Age-65older,28045
2020-09-02,Age-65older,28166
2020-09-03,Age-65older,28341
2020-09-04,Age-65older,28459
2020-09-05,Age-65older,28553
2020-09-06,Age-65older,28605
2020-09-07,Age-65older,28658
2020-09-08,Age-65older,28724
2020-09-09,Age-65older,28864
2020-09-10,Age-65older,28966
2020-09-11,Age-65older,29071
2020-09-12,Age-65older,29157
2020-09-13,Age-65older,29197
2020-09-14,Age-65older,29265
2020-09-15,Age-65older,29362
2020-09-16,Age-65older,29477
2020-09-17,Age-65older,29608
2020-09-18,Age-65older,29715
2020-09-19,Age-65older,29833
2020-09-20,Age-65older,29898
2020-09-21,Age-65older,29961
2020-09-22,Age-65older,30091
2020-09-23,Age-65older,30238
2020-09-24,Age-65older,30391
2020-09-25,Age-65older,30511
2020-09-26,Age-65older,30600
2020-09-27,Age-65older,30653
2020-09-28,Age-65older,30763
2020-09-29,Age-65older,30841
2020-09-30,Age-65older,30937
2020-10-01,Age-65older,31055
2020-10-02,Age-65older,31183
2020-10-03,Age-65older,31276
2020-10-04,Age-65older,31304
2020-10-05,Age-65older,31416
2020-10-06,Age-65older,31549
2020-10-07,Age-65older,31673
2020-10-08,Age-65older,31786
2020-10-09,Age-65older,31884
2020-10-10,Age-65older,31996
2020-10-11,Age-65older,32065
2020-10-12,Age-65older,32132
2020-10-13,Age-65older,32233
2020-10-14,Age-65older,32354
2020-10-15,Age-65older,32445
2020-10-16,Age-65older,32503
2020-10-17,Age-65older,32560
2020-10-18,Age-65older,32637
2020-10-19,Age-65older,32702
2020-10-20,Age-65older,32749
2020-10-21,Age-65older,33115
2020-10-22,Age-65older,33361
2020-10-23,Age-65older,33525
2020-10-24,Age-65older,33597
2020-10-25,Age-65older,33526
2020-10-26,Age-65older,33597
2020-10-27,Age-65older,33916
2020-10-28,Age-65older,34101
2020-10-29,Age-65older,34207
2020-10-30,Age-65older,34336
2020-10-31,Age-65older,34478
2020-11-01,Age-65older,34606
2020-11-02,Age-65older,34695
2020-11-03,Age-65older,34823
2020-11-04,Age-65older,34997
2020-11-05,Age-65older,35177
2020-11-06,Age-65older,35339
2020-11-07,Age-65older,35522
2020-11-08,Age-65older,35622
2020-11-09,Age-65older,35814
2020-11-10,Age-65older,35946
2020-11-11,Age-65older,36202
2020-11-12,Age-65older,36426
2020-11-13,Age-65older,36724
2020-11-14,Age-65older,37019
2020-11-15,Age-65older,37232
2020-11-16,Age-65older,37416
2020-11-17,Age-65older,37731
2020-11-18,Age-65older,38056
2020-11-19,Age-65older,38480
2020-11-20,Age-65older,38896
2020-11-21,Age-65older,39198
2020-11-22,Age-65older,39729
2020-11-23,Age-65older,40066
2020-11-24,Age-65older,40421
2020-11-25,Age-65older,40871
2020-11-26,Age-65older,41346
2020-11-27,Age-65older,41714
2020-11-28,Age-65older,42237
2020-11-29,Age-65older,42678
2020-11-30,Age-65older,43276
2020-12-01,Age-65older,43771
2020-12-02,Age-65older,44574
2020-12-03,Age-65older,45168
2020-12-04,Age-65older,45934
2020-12-05,Age-65older,46929
2020-12-06,Age-65older,47653
2020-12-07,Age-65older,48321
2020-12-08,Age-65older,49078
2020-12-09,Age-65older,50173
2020-12-10,Age-65older,51226
2020-12-11,Age-65older,52240
2020-12-12,Age-65older,53650
2020-12-13,Age-65older,54492
2020-12-14,Age-65older,55533
2020-12-15,Age-65older,57270
2020-12-16,Age-65older,58765
2020-12-17,Age-65older,60140
2020-12-18,Age-65older,61448
2020-12-19,Age-65older,62969
2020-12-20,Age-65older,64135
2020-12-21,Age-65older,65389
2020-12-22,Age-65older,66998
2020-12-23,Age-65older,68627
2020-12-24,Age-65older,68627
2020-12-25,Age-65older,71522
2020-12-26,Age-65older,72935
2020-12-27,Age-65older,74503
2020-12-28,Age-65older,75621
2020-12-29,Age-65older,76624
2020-12-30,Age-65older,78144
2020-12-31,Age-65older,80013
2021-01-01,Age-65older,81624
2021-01-02,Age-65older,83180
2021-01-03,Age-65older,84372
2021-01-04,Age-65older,85490
2021-01-05,Age-65older,86704
2021-01-06,Age-65older,88508
2021-01-07,Age-65older,90686
2021-01-08,Age-65older,92303
2021-01-09,Age-65older,93710
2021-01-10,Age-65older,95010
2021-01-11,Age-65older,96220
2021-01-12,Age-65older,97386
2021-01-13,Age-65older,99682
2021-01-14,Age-65older,101220
2021-01-15,Age-65older,102678
2021-01-16,Age-65older,104015
2021-01-17,Age-65older,105102
2021-01-18,Age-65older,105898
2021-01-19,Age-65older,106599
2021-01-20,Age-65older,107746
2021-01-21,Age-65older,108746
2021-01-22,Age-65older,109823
2021-01-23,Age-65older,110673
2021-01-24,Age-65older,111404
2021-01-25,Age-65older,112056
2021-01-26,Age-65older,112771
2021-01-27,Age-65older,113621
2021-01-28,Age-65older,114424
2021-01-29,Age-65older,115152
2021-01-30,Age-65older,115875
2021-01-31,Age-65older,116372
2021-02-01,Age-65older,116846
2021-02-02,Age-65older,117391
2021-02-03,Age-65older,118433
2021-02-04,Age-65older,119016
2021-02-05,Age-65older,119596
2021-02-06,Age-65older,119988
2021-02-07,Age-65older,120285
2021-02-08,Age-65older,120673
2021-02-09,Age-65older,121060
2021-02-10,Age-65older,121695
2021-02-11,Age-65older,122190
2021-02-12,Age-65older,122541
2021-02-13,Age-65older,122787
2021-02-14,Age-65older,122995
2021-02-15,Age-65older,123179
2021-02-16,Age-65older,123434
2021-02-17,Age-65older,123757
2021-02-18,Age-65older,124097
2021-02-19,Age-65older,124415
2021-02-20,Age-65older,124590
2021-02-21,Age-65older,124695
2021-02-22,Age-65older,125045
2021-02-23,Age-65older,125255
2021-02-24,Age-65older,125481
2021-02-25,Age-65older,125670
2021-02-26,Age-65older,125828
2021-02-27,Age-65older,125941
2021-02-28,Age-65older,126057
2021-03-01,Age-65older,126216
2021-03-02,Age-65older,126427
2021-03-03,Age-65older,126711
2021-03-04,Age-65older,126987
2021-03-05,Age-65older,127225
2021-03-06,Age-65older,127354
2021-03-07,Age-65older,127450
2021-03-08,Age-65older,127613
2021-03-09,Age-65older,127724
2021-03-10,Age-65older,127724
2021-03-11,Age-65older,127992
2021-03-12,Age-65older,128052
2021-03-13,Age-65older,128145
2021-03-14,Age-65older,128189
2021-03-15,Age-65older,128230
2021-03-16,Age-65older,128292
2021-03-17,Age-65older,128379
2021-03-18,Age-65older,128461
2021-03-19,Age-65older,128487
2021-03-20,Age-65older,128540
2021-03-21,Age-65older,128570
2021-03-22,Age-65older,128598
2021-03-23,Age-65older,128653
2021-03-24,Age-65older,128694
2021-03-25,Age-65older,128753
2021-03-26,Age-65older,128792
2021-03-27,Age-65older,128826
2021-03-28,Age-65older,128842
2021-03-29,Age-65older,128867
2021-03-30,Age-65older,128919
2021-03-31,Age-65older,128867
2021-04-01,Age-65older,129015
2021-04-02,Age-65older,129072
2021-04-03,Age-65older,129109
2021-04-04,Age-65older,129136
2021-04-05,Age-65older,129175
2021-04-06,Age-65older,129213
2021-04-07,Age-65older,129250
2021-04-08,Age-65older,129296
2021-04-09,Age-65older,129359
2021-04-10,Age-65older,129392
2021-04-11,Age-65older,129418
2021-04-12,Age-65older,129444
2021-04-13,Age-65older,129460
2021-04-14,Age-65older,129486
2021-04-15,Age-65older,129521
2021-04-16,Age-65older,129554
2021-04-17,Age-65older,129773
2021-04-18,Age-65older,129796
2021-04-19,Age-65older,129814
2021-04-20,Age-65older,129822
2021-04-21,Age-65older,129842
2021-04-22,Age-65older,129872
2021-04-23,Age-65older,129887
2021-04-24,Age-65older,129911
2021-04-25,Age-65older,129925
2021-04-26,Age-65older,129931
2021-04-27,Age-65older,129959
2021-04-28,Age-65older,129983
2021-04-29,Age-65older,130016
2021-04-30,Age-65older,130059
2021-05-01,Age-65older,129980
2021-05-02,Age-65older,130003
2021-05-03,Age-65older,130021
2021-05-04,Age-65older,130034
2021-05-05,Age-65older,130059
2021-05-06,Age-65older,130108
2021-05-07,Age-65older,130128
2021-05-08,Age-65older,130144
2021-05-09,Age-65older,130196
2021-05-10,Age-65older,130225
2021-05-11,Age-65older,130252
2021-05-12,Age-65older,130260
2021-05-13,Age-65older,130324
2021-05-14,Age-65older,130342
2021-05-15,Age-65older,130353
2021-05-16,Age-65older,130376
2021-05-17,Age-65older,130394
2021-05-18,Age-65older,130411
2021-05-19,Age-65older,130434
2021-05-20,Age-65older,130459
2021-05-21,Age-65older,130495
2021-05-22,Age-65older,130511
2021-05-23,Age-65older,130526
2021-05-24,Age-65older,130540
2021-05-25,Age-65older,130556
2021-05-26,Age-65older,131477
2021-05-27,Age-65older,131493
2021-05-28,Age-65older,131508
2021-05-29,Age-65older,131522
2021-05-30,Age-65older,131533
2021-05-31,Age-65older,131540
2021-06-01,Age-65older,131551
2021-06-02,Age-65older,131564
2021-06-03,Age-65older,131583
2021-06-04,Age-65older,131601
2021-06-05,Age-65older,131613
2021-06-06,Age-65older,131622
2021-06-07,Age-65older,131636
2021-06-08,Age-65older,131654
2021-06-09,Age-65older,131668
2021-06-10,Age-65older,131682
2021-06-11,Age-65older,131759
2021-06-12,Age-65older,131778
2020-03-17,Race-AmericanIndianAlaskaNative,0
2020-03-18,Race-AmericanIndianAlaskaNative,0
2020-03-19,Race-AmericanIndianAlaskaNative,0
2020-03-20,Race-AmericanIndianAlaskaNative,0
2020-03-21,Race-AmericanIndianAlaskaNative,0
2020-03-22,Race-AmericanIndianAlaskaNative,0
2020-03-23,Race-AmericanIndianAlaskaNative,0
2020-03-24,Race-AmericanIndianAlaskaNative,0
2020-03-25,Race-AmericanIndianAlaskaNative,0
2020-03-26,Race-AmericanIndianAlaskaNative,0
2020-03-27,Race-AmericanIndianAlaskaNative,0
2020-03-28,Race-AmericanIndianAlaskaNative,0
2020-03-29,Race-AmericanIndianAlaskaNative,0
2020-03-30,Race-AmericanIndianAlaskaNative,0
2020-03-31,Race-AmericanIndianAlaskaNative,0
2020-04-01,Race-AmericanIndianAlaskaNative,0
2020-04-02,Race-AmericanIndianAlaskaNative,0
2020-04-03,Race-AmericanIndianAlaskaNative,0
2020-04-04,Race-AmericanIndianAlaskaNative,0
2020-04-05,Race-AmericanIndianAlaskaNative,0
2020-04-06,Race-AmericanIndianAlaskaNative,0
2020-04-07,Race-AmericanIndianAlaskaNative,0
2020-04-08,Race-AmericanIndianAlaskaNative,0
2020-04-09,Race-AmericanIndianAlaskaNative,0
2020-04-10,Race-AmericanIndianAlaskaNative,0
2020-04-11,Race-AmericanIndianAlaskaNative,0
2020-04-12,Race-AmericanIndianAlaskaNative,0
2020-04-13,Race-AmericanIndianAlaskaNative,0
2020-04-14,Race-AmericanIndianAlaskaNative,0
2020-04-15,Race-AmericanIndianAlaskaNative,0
2020-04-16,Race-AmericanIndianAlaskaNative,0
2020-04-17,Race-AmericanIndianAlaskaNative,0
2020-04-18,Race-AmericanIndianAlaskaNative,0
2020-04-19,Race-AmericanIndianAlaskaNative,0
2020-04-20,Race-AmericanIndianAlaskaNative,0
2020-04-21,Race-AmericanIndianAlaskaNative,0
2020-04-22,Race-AmericanIndianAlaskaNative,12
2020-04-23,Race-AmericanIndianAlaskaNative,12
2020-04-24,Race-AmericanIndianAlaskaNative,12
2020-04-25,Race-AmericanIndianAlaskaNative,12
2020-04-26,Race-AmericanIndianAlaskaNative,12
2020-04-27,Race-AmericanIndianAlaskaNative,13
2020-04-28,Race-AmericanIndianAlaskaNative,13
2020-04-29,Race-AmericanIndianAlaskaNative,13
2020-04-30,Race-AmericanIndianAlaskaNative,13
2020-05-01,Race-AmericanIndianAlaskaNative,13
2020-05-02,Race-AmericanIndianAlaskaNative,13
2020-05-03,Race-AmericanIndianAlaskaNative,14
2020-05-04,Race-AmericanIndianAlaskaNative,15
2020-05-05,Race-AmericanIndianAlaskaNative,16
2020-05-06,Race-AmericanIndianAlaskaNative,16
2020-05-07,Race-AmericanIndianAlaskaNative,16
2020-05-08,Race-AmericanIndianAlaskaNative,18
2020-05-09,Race-AmericanIndianAlaskaNative,19
2020-05-10,Race-AmericanIndianAlaskaNative,19
2020-05-11,Race-AmericanIndianAlaskaNative,19
2020-05-12,Race-AmericanIndianAlaskaNative,20
2020-05-13,Race-AmericanIndianAlaskaNative,21
2020-05-14,Race-AmericanIndianAlaskaNative,23
2020-05-15,Race-AmericanIndianAlaskaNative,27
2020-05-16,Race-AmericanIndianAlaskaNative,27
2020-05-17,Race-AmericanIndianAlaskaNative,28
2020-05-18,Race-AmericanIndianAlaskaNative,29
2020-05-19,Race-AmericanIndianAlaskaNative,30
2020-05-20,Race-AmericanIndianAlaskaNative,31
2020-05-21,Race-AmericanIndianAlaskaNative,31
2020-05-22,Race-AmericanIndianAlaskaNative,31
2020-05-23,Race-AmericanIndianAlaskaNative,36
2020-05-24,Race-AmericanIndianAlaskaNative,37
2020-05-25,Race-AmericanIndianAlaskaNative,41
2020-05-26,Race-AmericanIndianAlaskaNative,42
2020-05-27,Race-AmericanIndianAlaskaNative,42
2020-05-28,Race-AmericanIndianAlaskaNative,45
2020-05-29,Race-AmericanIndianAlaskaNative,50
2020-05-30,Race-AmericanIndianAlaskaNative,51
2020-05-31,Race-AmericanIndianAlaskaNative,53
2020-06-01,Race-AmericanIndianAlaskaNative,54
2020-06-02,Race-AmericanIndianAlaskaNative,56
2020-06-03,Race-AmericanIndianAlaskaNative,57
2020-06-04,Race-AmericanIndianAlaskaNative,57
2020-06-05,Race-AmericanIndianAlaskaNative,58
2020-06-06,Race-AmericanIndianAlaskaNative,59
2020-06-07,Race-AmericanIndianAlaskaNative,59
2020-06-08,Race-AmericanIndianAlaskaNative,59
2020-06-09,Race-AmericanIndianAlaskaNative,60
2020-06-10,Race-AmericanIndianAlaskaNative,60
2020-06-11,Race-AmericanIndianAlaskaNative,61
2020-06-12,Race-AmericanIndianAlaskaNative,62
2020-06-13,Race-AmericanIndianAlaskaNative,62
2020-06-14,Race-AmericanIndianAlaskaNative,62
2020-06-15,Race-AmericanIndianAlaskaNative,62
2020-06-16,Race-AmericanIndianAlaskaNative,62
2020-06-17,Race-AmericanIndianAlaskaNative,62
2020-06-18,Race-AmericanIndianAlaskaNative,63
2020-06-19,Race-AmericanIndianAlaskaNative,64
2020-06-20,Race-AmericanIndianAlaskaNative,64
2020-06-21,Race-AmericanIndianAlaskaNative,65
2020-06-22,Race-AmericanIndianAlaskaNative,70
2020-06-23,Race-AmericanIndianAlaskaNative,73
2020-06-24,Race-AmericanIndianAlaskaNative,73
2020-06-25,Race-AmericanIndianAlaskaNative,76
2020-06-26,Race-AmericanIndianAlaskaNative,79
2020-06-27,Race-AmericanIndianAlaskaNative,81
2020-06-28,Race-AmericanIndianAlaskaNative,81
2020-06-29,Race-AmericanIndianAlaskaNative,81
2020-06-30,Race-AmericanIndianAlaskaNative,83
2020-07-01,Race-AmericanIndianAlaskaNative,84
2020-07-02,Race-AmericanIndianAlaskaNative,84
2020-07-03,Race-AmericanIndianAlaskaNative,84
2020-07-04,Race-AmericanIndianAlaskaNative,85
2020-07-05,Race-AmericanIndianAlaskaNative,87
2020-07-06,Race-AmericanIndianAlaskaNative,91
2020-07-07,Race-AmericanIndianAlaskaNative,97
2020-07-08,Race-AmericanIndianAlaskaNative,99
2020-07-09,Race-AmericanIndianAlaskaNative,101
2020-07-10,Race-AmericanIndianAlaskaNative,105
2020-07-11,Race-AmericanIndianAlaskaNative,112
2020-07-12,Race-AmericanIndianAlaskaNative,111
2020-07-13,Race-AmericanIndianAlaskaNative,115
2020-07-14,Race-AmericanIndianAlaskaNative,120
2020-07-15,Race-AmericanIndianAlaskaNative,123
2020-07-16,Race-AmericanIndianAlaskaNative,127
2020-07-17,Race-AmericanIndianAlaskaNative,134
2020-07-18,Race-AmericanIndianAlaskaNative,139
2020-07-19,Race-AmericanIndianAlaskaNative,140
2020-07-20,Race-AmericanIndianAlaskaNative,142
2020-07-21,Race-AmericanIndianAlaskaNative,150
2020-07-22,Race-AmericanIndianAlaskaNative,153
2020-07-23,Race-AmericanIndianAlaskaNative,153
2020-07-24,Race-AmericanIndianAlaskaNative,159
2020-07-25,Race-AmericanIndianAlaskaNative,161
2020-07-26,Race-AmericanIndianAlaskaNative,162
2020-07-27,Race-AmericanIndianAlaskaNative,162
2020-07-28,Race-AmericanIndianAlaskaNative,163
2020-07-29,Race-AmericanIndianAlaskaNative,165
2020-07-30,Race-AmericanIndianAlaskaNative,169
2020-07-31,Race-AmericanIndianAlaskaNative,170
2020-08-01,Race-AmericanIndianAlaskaNative,172
2020-08-02,Race-AmericanIndianAlaskaNative,173
2020-08-03,Race-AmericanIndianAlaskaNative,175
2020-08-04,Race-AmericanIndianAlaskaNative,177
2020-08-05,Race-AmericanIndianAlaskaNative,178
2020-08-06,Race-AmericanIndianAlaskaNative,179
2020-08-07,Race-AmericanIndianAlaskaNative,179
2020-08-08,Race-AmericanIndianAlaskaNative,180
2020-08-09,Race-AmericanIndianAlaskaNative,181
2020-08-10,Race-AmericanIndianAlaskaNative,182
2020-08-11,Race-AmericanIndianAlaskaNative,182
2020-08-12,Race-AmericanIndianAlaskaNative,184
2020-08-13,Race-AmericanIndianAlaskaNative,187
2020-08-14,Race-AmericanIndianAlaskaNative,187
2020-08-15,Race-AmericanIndianAlaskaNative,188
2020-08-16,Race-AmericanIndianAlaskaNative,188
2020-08-17,Race-AmericanIndianAlaskaNative,188
2020-08-18,Race-AmericanIndianAlaskaNative,188
2020-08-19,Race-AmericanIndianAlaskaNative,188
2020-08-20,Race-AmericanIndianAlaskaNative,188
2020-08-21,Race-AmericanIndianAlaskaNative,188
2020-08-22,Race-AmericanIndianAlaskaNative,189
2020-08-23,Race-AmericanIndianAlaskaNative,189
2020-08-24,Race-AmericanIndianAlaskaNative,191
2020-08-25,Race-AmericanIndianAlaskaNative,194
2020-08-26,Race-AmericanIndianAlaskaNative,196
2020-08-27,Race-AmericanIndianAlaskaNative,198
2020-08-28,Race-AmericanIndianAlaskaNative,198
2020-08-29,Race-AmericanIndianAlaskaNative,198
2020-08-30,Race-AmericanIndianAlaskaNative,198
2020-08-31,Race-AmericanIndianAlaskaNative,198
2020-09-01,Race-AmericanIndianAlaskaNative,204
2020-09-02,Race-AmericanIndianAlaskaNative,204
2020-09-03,Race-AmericanIndianAlaskaNative,207
2020-09-04,Race-AmericanIndianAlaskaNative,210
2020-09-05,Race-AmericanIndianAlaskaNative,211
2020-09-06,Race-AmericanIndianAlaskaNative,211
2020-09-07,Race-AmericanIndianAlaskaNative,211
2020-09-08,Race-AmericanIndianAlaskaNative,212
2020-09-09,Race-AmericanIndianAlaskaNative,212
2020-09-10,Race-AmericanIndianAlaskaNative,215
2020-09-11,Race-AmericanIndianAlaskaNative,218
2020-09-12,Race-AmericanIndianAlaskaNative,221
2020-09-13,Race-AmericanIndianAlaskaNative,222
2020-09-14,Race-AmericanIndianAlaskaNative,223
2020-09-15,Race-AmericanIndianAlaskaNative,225
2020-09-16,Race-AmericanIndianAlaskaNative,229
2020-09-17,Race-AmericanIndianAlaskaNative,230
2020-09-18,Race-AmericanIndianAlaskaNative,232
2020-09-19,Race-AmericanIndianAlaskaNative,233
2020-09-20,Race-AmericanIndianAlaskaNative,236
2020-09-21,Race-AmericanIndianAlaskaNative,237
2020-09-22,Race-AmericanIndianAlaskaNative,237
2020-09-23,Race-AmericanIndianAlaskaNative,237
2020-09-24,Race-AmericanIndianAlaskaNative,240
2020-09-25,Race-AmericanIndianAlaskaNative,243
2020-09-26,Race-AmericanIndianAlaskaNative,243
2020-09-27,Race-AmericanIndianAlaskaNative,243
