Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count,Cumulative Death Count,Newly Reported Death Count
2020-03-17,Age-0to17,3,3,0,0
2020-03-18,Age-0to17,4,1,0,0
2020-03-19,Age-0to17,4,0,0,0
2020-03-20,Age-0to17,4,0,0,0
2020-03-21,Age-0to17,5,1,0,0
2020-03-22,Age-0to17,9,4,0,0
2020-03-23,Age-0to17,10,1,0,0
2020-03-24,Age-0to17,10,0,0,0
2020-03-25,Age-0to17,19,9,0,0
2020-03-26,Age-0to17,22,3,0,0
2020-03-27,Age-0to17,27,5,0,0
2020-03-28,Age-0to17,27,0,0,0
2020-03-29,Age-0to17,27,0,0,0
2020-03-30,Age-0to17,27,0,0,0
2020-03-31,Age-0to17,32,5,0,0
2020-04-01,Age-0to17,36,4,0,0
2020-04-02,Age-0to17,40,4,0,0
2020-04-03,Age-0to17,48,8,0,0
2020-04-04,Age-0to17,57,9,0,0
2020-04-05,Age-0to17,59,2,0,0
2020-04-06,Age-0to17,73,14,0,0
2020-04-07,Age-0to17,80,7,0,0
2020-04-08,Age-0to17,81,1,0,0
2020-04-09,Age-0to17,84,3,0,0
2020-04-10,Age-0to17,91,7,0,0
2020-04-11,Age-0to17,95,4,0,0
2020-04-12,Age-0to17,97,2,0,0
2020-04-13,Age-0to17,100,3,0,0
2020-04-14,Age-0to17,104,4,0,0
2020-04-15,Age-0to17,111,7,0,0
2020-04-16,Age-0to17,118,7,0,0
2020-04-17,Age-0to17,125,7,0,0
2020-04-18,Age-0to17,129,4,0,0
2020-04-19,Age-0to17,196,67,0,0
2020-04-20,Age-0to17,247,51,0,0
2020-04-21,Age-0to17,300,53,0,0
2020-04-22,Age-0to17,338,38,0,0
2020-04-23,Age-0to17,369,31,0,0
2020-04-24,Age-0to17,381,12,0,0
2020-04-25,Age-0to17,385,4,0,0
2020-04-26,Age-0to17,444,59,0,0
2020-04-27,Age-0to17,465,21,0,0
2020-04-28,Age-0to17,536,71,0,0
2020-04-29,Age-0to17,554,18,0,0
